VAR	TIER	TOTAL_FILES	TOTAL_REFS	TOP_FILES
ADMIN_PORT	t3	1	1	C:/aoe-unified-final/services/admin-api/index.js
ADMIN_TOKEN	t1	7	25	C:/aoe-unified-final/api/index.js|C:/aoe-unified-final/brain.js|C:/aoe-unified-final/middleware/access-control.js
ADVISOR_PORT	t3	3	4	c:/aoe-unified-final-main/routes/settings.js|c:/aoe-unified-final-main/server.js|c:/aoe-unified-final-main/services/config-advisor.js
ADVISOR_PROVIDER	t3	1	1	c:/aoe-unified-final-main/services/config-advisor.js
ADVISOR_SHARED_SECRET	t1	3	3	c:/aoe-unified-final-main/routes/settings.js|c:/aoe-unified-final-main/server.js|c:/aoe-unified-final-main/services/config-advisor.js
AFFILIATE_CLOUDFLARE_ID	t3	1	1	C:/aoe-unified-final/lib/affiliate-engine.js
AFFILIATE_DO_ID	t3	1	1	C:/aoe-unified-final/lib/affiliate-engine.js
AFFILIATE_ELEVENLABS_ID	t3	1	1	C:/aoe-unified-final/lib/affiliate-engine.js
AFFILIATE_LUNO_ID	t3	1	1	C:/aoe-unified-final/lib/affiliate-engine.js
AFFILIATE_WEBWAY_ID	t3	1	1	C:/aoe-unified-final/lib/affiliate-engine.js
AGENT_SALT	t0	1	1	C:/aoe-unified-final/api/twin.js
AI_MONTHLY_BUDGET	t2	2	2	C:/aoe-unified-final/lib/db.js|C:/aoe-unified-final/lib/revenue-engine.js
ALLOWED_ORIGINS	t2	1	1	C:/aoe-unified-final/terminal-proxy.js
ANTHROPIC_API_KEY	t1	5	5	E:/BridgeAI/svg-engine/plugins/index.js|C:/aoe-unified-final/server.js|c:/aoe-unified-final-main/services/config-advisor.js
ANTHROPIC_MODEL	t3	1	1	c:/aoe-unified-final-main/services/config-advisor.js
APIFY_TOKEN	t1	1	5	E:/BridgeAI/svg-engine/plugins/multi-scraper.js
AUTH_PORT	t3	4	4	C:/aoe-unified-final/tests/auth.test.js|C:/aoe-unified-final/tests/integration.test.js|C:/aoe-unified-final/auth.js
AUTH_SVC	t3	1	1	C:/aoe-unified-final/gateway.js
AUTH_TOKEN_SECRET	t3	3	3	C:/aoe-unified-final/public/Xscripts/auth-service.js|C:/aoe-unified-final/Xscripts/auth-service.js|C:/aoe-unified-final/junkyard/folders/Xscripts/auth-service.js
AUTO_APPROVE_TYPES	t3	1	1	C:/aoe-unified-final/lib/infra-feedback.js
AZURE_CLIENT_ID	t3	2	2	C:/aoe-unified-final/gateway.js|C:/aoe-unified-final/brain.js
AZURE_CLIENT_SECRET	t1	1	1	C:/aoe-unified-final/brain.js
AZURE_TENANT	t3	1	1	C:/aoe-unified-final/brain.js
BACKEND_URL	t3	2	2	E:/BridgeAI/BridgeLiveWall/scripts/taurus-showcase-server.js|E:/BridgeAI/BridgeLiveWall/frontend/serve-no-cache.cjs
BAN_CWD	t3	1	1	C:/aoe-unified-final/ecosystem.config.js
BAN_PYTHON	t3	1	1	C:/aoe-unified-final/ecosystem.config.js
BASE_URL	t3	5	5	C:/aoe-unified-final/brain.js|C:/aoe-unified-final/server.js|C:/aoe-unified-final/lib/billing-activation.js
BILLING_INTERVAL	t3	1	1	C:/aoe-unified-final/revenue-engine/index.js
BILLING_PORT	t3	1	1	C:/aoe-unified-final/billing/server.js
BLOB_READ_WRITE_TOKEN	t1	1	2	C:/aoe-unified-final/api/neurolink/history.js
BRAIN_HOST	t3	1	1	C:/aoe-unified-final/gateway.js
